2019-04-11 16:00:14,347 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 0620, 	 data FF00
2019-04-11 16:00:14,348 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 0621, 	 data 0000
2019-04-11 16:00:20,785 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 0620, 	 data 0000
2019-04-11 16:00:20,785 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 0621, 	 data 0000
2019-04-12 14:14:11,701 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 14:14:11,701 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 14:15:12,533 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 14:15:12,533 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 14:16:53,933 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 14:16:53,936 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 14:16:53,937 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 14:16:53,937 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 14:16:53,938 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 14:16:53,938 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 14:16:53,939 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-12 14:16:53,939 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 14:17:24,446 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-12 14:47:01,245 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 14:47:01,246 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 14:47:07,690 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 14:47:07,692 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 14:47:07,695 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 14:47:07,696 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 14:47:07,697 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 14:47:07,697 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 14:47:07,698 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-12 14:47:07,698 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 15:01:48,361 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 15:01:48,361 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 15:01:55,211 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 15:01:55,213 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 15:01:55,214 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 15:01:55,214 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 15:01:55,215 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 15:01:55,215 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 15:01:55,216 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-12 15:01:55,216 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 15:04:53,250 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 15:04:53,251 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 15:04:57,635 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-12 15:04:57,637 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 15:04:57,638 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 15:04:57,638 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 15:04:57,639 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-12 15:04:57,640 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-12 15:04:57,640 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-12 15:04:57,640 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 10:06:00,711 - root - ERROR - Could not lock to all sensor clocks: [True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, False, False, False, False, False, False, False, False, False]
2019-04-13 10:06:00,790 - root - ERROR - Could not align all transceivers to comma: [True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False]
2019-04-13 13:12:27,255 - root - ERROR - Could not lock to all sensor clocks: [False, False, True, False, False, True, False, True, False]
2019-04-13 13:12:27,323 - root - ERROR - Could not align all transceivers to comma: [False, False, False, False, False, False, False, False, False]
2019-04-13 16:09:53,066 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:09:53,066 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,349 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,351 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,352 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-13 16:11:32,353 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-13 16:11:32,353 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A06, 	 data DEAD
2019-04-13 16:11:32,353 - root - ERROR - Could not lock to all sensor clocks: [True, False, True, True, True, True, True, True, False]
2019-04-13 16:11:32,356 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,356 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,356 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,357 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,358 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,362 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,362 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,363 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,364 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,364 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,368 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,368 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,369 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A01, 	 data DEAD
2019-04-13 16:11:32,370 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A02, 	 data DEAD
2019-04-13 16:11:32,370 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
2019-04-13 16:11:32,374 - Communication - ERROR - communication.communication.read_reg >> returned read error from usb_if.raw data 	 rderr_flag 1, 	 address 1A00, 	 data DEAD
